stt,name,rarity,path,image_file,s1,s2,s3,s4,s5
1,Cho Đến Ngày Mai Của Ngày Mai,4,Abundance,cho_den_ngay_mai_cua_ngay_mai.png,0,0,0,0,0
2,Đừng Quên Ngọn Lửa Của Cô Ấy,5,Nihility,dung_quen_ngon_lua_cua_co_ay.png,1,0,0,0,0
3,Thiêu Đốt Ảo Ảnh,3,Remembrance,thieu_dot_ao_anh.png,0,0,0,0,0
4,Nếu Thời Gian Là Một Đoá Hoa,5,Harmony,neu_thoi_gian_la_mot_doa_hoa.png,0.5,0,0,0,0
5,Sinh Mệnh Đáng Bị Thiêu Rụi,5,Erudition,sinh_menh_dang_bi_thieu_rui.png,1,0,0,0,0
6,Lễ Đăng Quang Không Hồi Đáp,5,Destruction,le_dang_quang_khong_hoi_dap.png,1,0,0,0,0
7,Địa Ngục Thiêu Đốt Lý Tưởng,5,Hunt,dia_nguc_thieu_dot_ly_tuong.png,0.5,0,0,0,0
8,Vì Sao Biển Cả Ca Vang,5,Nihility,vi_sao_bien_ca_ca_vang.png,1.5,0,0,0,0
9,Món Ăn Vĩnh Hằng,4,Harmony,mon_an_vinh_hang.png,0,0,0,0,0
10,Thời Đại Máu Vàng Khắc Ghi,5,Harmony,thoi_dai_mau_vang_khac_ghi.png,1,0,0,0,0
11,Dù Núi Sông Vạn Dặm,5,Preservation,du_nui_song_van_dam.png,0.5,0,0,0,0
12,Bình Minh Rực Cháy,5,Destruction,binh_minh_ruc_chay.png,2.5,0,0,0,0
13,Tìm Về Ký Ức,3,Remembrance,tim_ve_ky_uc.png,0,0,0,0,0
14,Lời Chào Hỏi Của Thiên Tài,4,Remembrance,loi_chao_hoi_cua_thien_tai.png,0,0,0,0,0
15,"Đổ Mồ Hôi Nhiều, Rơi Nước Mắt Ít",4,Remembrance,do_mo_hoi_nhieu_roi_nuoc_mat_it.png,0,0,0,0,0
16,Trang Tiếp Theo Của Câu Chuyện,4,Remembrance,trang_tiep_theo_cua_cau_chuyen.png,0,0,0,0,0
17,Hoa Sẽ Không Quên,4,Remembrance,hoa_se_khong_quen.png,0,0,0,0,0
18,Bay Đến Ngày Mai Màu Hồng,4,Remembrance,bay_den_ngay_mai_mau_hong.png,0,0,0,0,0
19,Chiến Thắng Trong Chớp Mắt,4,Remembrance,chien_thang_trong_chop_mat.png,0,0,0,0,0
20,Ký Ức Không Bao Giờ Hạ Màn,5,Remembrance,ky_uc_khong_bao_gio_ha_man.png,0,0,0,0,0
21,Dệt Thời Gian Thành Vàng,5,Remembrance,det_thoi_gian_thanh_vang.png,1,0,0,0,0
22,Để Lời Từ Biệt Đẹp Đẽ Hơn,5,Remembrance,de_loi_tu_biet_dep_de_hon.png,2,0,0,0,0
23,Mong Cầu Vồng Mãi Ở Trên Bầu Trời,5,Remembrance,mong_cau_vong_mai_o_tren_bau_troi.png,2.5,0,0,0,0
24,Gửi Ánh Sao Của Đêm Dài,5,Remembrance,gui_anh_sao_cua_dem_dai.png,1.5,0,0,0,0
25,Nguyện Yêu Như Lúc Này Mãi Mãi,5,Remembrance,nguyen_yeu_nhu_luc_nay_mai_mai.png,1,0,0,0,0
26,Đường Dài Vẫn Có Lối Về,5,Nihility,duong_dai_van_co_loi_ve.png,0.5,0,0,0,0
27,Dựng Phim Trong Mơ,4,Abundance,dung_phim_trong_mo.png,0,0,0,0,0
28,Bóng Tối Đồng Hành,4,Hunt,bong_toi_dong_hanh.png,0,0,0,0,0
29,Tuổi Hoa Chờ Nở Rộ,4,Harmony,tuoi_hoa_cho_no_ro.png,0,0,0,0,0
30,Mùi Hương Vẹn Nguyên,5,Abundance,mui_huong_ven_nguyen.png,1,0,0,0,0
31,Khi Đuổi Theo Gió,4,Harmony,khi_duoi_theo_gio.png,0,0,0,0,0
32,Hướng Về Điều Không Thể Truy Hỏi,5,Erudition,huong_ve_dieu_khong_the_truy_hoi.png,1,0,0,0,0
33,Vệt Máu Ngày Cũ,4,Destruction,vet_mau_ngay_cu.png,0,0,0,0,0
34,"Huyết Hoả, Hãy Thiêu Đốt Con Đường Phía Trước",5,Destruction,huyet_hoa_hay_thieu_dot_con_duong_phia_truoc.png,1.5,0,0,0,0
35,Vũ Điệu Vô Biên,4,Nihility,vu_dieu_vo_bien.png,0,0,0,0,0
37,Điệu Múa Dưới Hoàng Hôn,5,Destruction,dieu_mua_duoi_hoang_hon.png,1,0,0,0,0
38,Gặp Lại Ở Điểm Cuối Cùng,4,Hunt,gap_lai_o_diem_cuoi_cung.png,0,0,0,0,0
39,Mong Hành Trình Mãi Mãi Bình An,4,Preservation,mong_hanh_trinh_mai_mai_binh_an.png,0,0,0,0,0
40,Chuyến Bay Trở Về Mặt Đất,5,Harmony,chuyen_bay_tro_ve_mat_dat.png,1,0,0,0,0
41,Nhẫn Sự Lục-Săn Bắn Âm Luật,4,Destruction,nhan_su_luc_san_ban_am_luat.png,0,0,0,0,0
42,Kỳ Nghỉ Phiêu Lưu Nhà Tắm Hơi,4,Nihility,ky_nghi_phieu_luu_nha_tam_hoi.png,0,0,0,0,0
43,Lời Nói Dối Bay Trong Gió,5,Nihility,loi_noi_doi_bay_trong_gio.png,1.5,0,0,0,0
44,Giấc Mơ Vấn Vương Hương Lúa,4,Abundance,giac_mo_van_vuong_huong_lua.png,0,0,0,0,0
45,Vì Hành Trình Ngày Mai,4,Erudition,vi_hanh_trinh_ngay_mai.png,0,0,0,0,0
46,Sau Sự Im Lặng Hài Hòa,4,Erudition,sau_su_im_lang_hai_hoa.png,0,0,0,0,0
47,Bí Kíp Nhẫn Pháp-Dazzling Phá Ma,5,Erudition,bi_kip_nhan_phap_dazzling_pha_ma.png,1,0,0,0,0
48,"Ta Sẽ, Tuần Tra Săn Bắn",5,Hunt,ta_se_tuan_tra_san_ban.png,1,0,0,0,0
49,Vô Số Mùa Xuân Ấy,5,Nihility,vo_so_mua_xuan_ay.png,0.5,0,0,0,0
50,Ngoại Suy Vô Tận,5,Abundance,ngoai_suy_vo_tan.png,0,0,0,0,0
51,Hi Vọng Là Vô Giá,5,Erudition,hi_vong_la_vo_gia.png,0.5,0,0,0,0
52,Giấc Mộng Sẽ Đi Về Đâu,5,Destruction,giac_mong_se_di_ve_dau.png,1,0,0,0,0
53,Hướng Đến Sinh Mệnh Thứ Hai,5,Hunt,huong_den_sinh_menh_thu_hai.png,1,0,0,0,0
54,Sắc Đêm Rực Sáng,5,Harmony,sac_dem_ruc_sang.png,1,0,0,0,0
55,Hun Đúc Ký Ức Thời Gian,5,Nihility,hun_duc_ky_uc_thoi_gian.png,1,0,0,0,0
56,Ngày Ngân Hà Sụp Đổ,4,Erudition,ngay_ngan_ha_sup_do.png,0,0,0,0,0
57,Buổi Hoà Nhạc Hai Người,4,Preservation,buoi_hoa_nhac_hai_nguoi.png,0,0,0,0,0
58,Ước Hẹn Khắc Ghi,4,Destruction,uoc_hen_khac_ghi.png,0,0,0,0,0
59,Dây Thêu Dệt Vận Mệnh,4,Preservation,day_theu_det_van_menh.png,0,0,0,0,0
60,Ở Nơi Xa Ngọn Lửa,4,Destruction,o_noi_xa_ngon_lua.png,0,0,0,0,0
61,Người Chiến Thắng Cuối Cùng,4,Hunt,nguoi_chien_thang_cuoi_cung.png,0,0,0,0,0
62,Chuyến Thám Hiểm Thị Trấn Mộng Đẹp,4,Harmony,chuyen_tham_hiem_thi_tran_mong_dep.png,0,0,0,0,0
63,Vai Diễn Bắt Đầu,4,Nihility,vai_dien_bat_dau.png,0,0,0,0,0
64,Vận Mệnh Chưa Từng Công Bằng,5,Preservation,van_menh_chua_tung_cong_bang.png,0.5,0,0,0,0
65,Đâu Là Thật?,4,Abundance,dau_la_that.png,0,0,0,0,0
66,Bước Theo Bến Bờ Thời Gian,5,Nihility,buoc_theo_ben_bo_thoi_gian.png,1.5,0,0,0,0
67,Trò Đùa Trần Thế,5,Harmony,tro_dua_tran_the.png,0.5,0,0,0,0
68,Lễ Rửa Tội Thuần Khiết,5,Hunt,le_rua_toi_thuan_khiet.png,1,0,0,0,0
69,Tôi Trong Gương Ngày Ấy,5,Harmony,toi_trong_guong_ngay_ay.png,0.5,0,0,0,0
70,"Hi, Tôi Ở Đây",4,Abundance,hi_toi_o_day.png,0,0,0,0,0
71,Đêm Kinh Hoàng,5,Abundance,dem_kinh_hoang.png,1,0,0,0,0
72,Đôi Mắt Đã Nhắm Lại,5,Preservation,doi_mat_da_nham_lai.png,0.5,0,0,0,0
73,Rực Rỡ Hơn Mặt Trời,5,Destruction,ruc_ro_hon_mat_troi.png,0.5,0,0,0,0
74,Chỉ Cần Chờ Đợi,5,Nihility,chi_can_cho_doi.png,0.5,0,0,0,0
75,Bến Bờ Xa Diệu Vợi,5,Destruction,ben_bo_xa_dieu_voi.png,0.5,0,0,0,0
76,Tiếng Vọng Của Quan Tài,5,Abundance,tieng_vong_cua_quan_tai.png,0,0,0,0,0
77,Trước Khi Bắt Đầu Nhiệm Vụ Tân Thủ,4,Nihility,truoc_khi_bat_dau_nhiem_vu_tan_thu.png,0,0,0,0,0
78,Cơn Mưa Tầm Tã,5,Nihility,con_mua_tam_ta.png,0,0,0,0,0
79,Sinh Sôi,3,Abundance,sinh_soi.png,0,0,0,0,0
80,Dồi Dào,3,Abundance,doi_dao.png,0,0,0,0,0
81,Trái Ngọt,3,Abundance,trai_ngot.png,0,0,0,0,0
